time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T11:04:00+02:00,23442,23446,23440,23443,23458.28715448752,23441.083188210934,NaN,NaN,23462.03002999333,23447.728285577505,NaN,NaN,23458.28715448752,23441.083188210934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23412
2025-06-13T11:05:00+02:00,23440,23440,23425,23433,23457.73299829093,23440.59581887121,NaN,NaN,23461.87704367393,23447.57045026099,NaN,NaN,23457.73299829093,23440.59581887121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:06:00+02:00,23439,23441,23421,23435,23457.225937736657,23440.002006178143,NaN,NaN,23461.73206420397,23447.38593324529,NaN,NaN,23457.225937736657,23440.002006178143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:07:00+02:00,23437,23437,23429,23432,23456.613030532517,23439.668612051533,NaN,NaN,23461.56031375811,23447.258253153308,NaN,NaN,23456.613030532517,23439.668612051533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:08:00+02:00,23433,23441,23431,23441,23456.13990839517,23439.40592683785,NaN,NaN,23461.417533801454,23447.145348617523,NaN,NaN,23456.13990839517,23439.40592683785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:09:00+02:00,23443,23445,23439,23442,23455.802335413497,23439.393626024583,NaN,NaN,23461.303523150054,23447.08878369657,NaN,NaN,23455.802335413497,23439.393626024583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:10:00+02:00,23439,23454,23435,23452,23455.747719188847,23439.26048584202,NaN,NaN,23461.25280423929,23447.004833809788,NaN,NaN,23455.747719188847,23439.26048584202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23410
2025-06-13T11:11:00+02:00,23453,23462,23450,23452,23455.93718224373,23439.58592566499,NaN,NaN,23461.25799309874,23447.025633575,NaN,NaN,23455.93718224373,23439.58592566499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23414
2025-06-13T11:12:00+02:00,23449,23450,23449,23450,23455.757267630284,23439.871200644837,NaN,NaN,23461.179812591112,23447.039344452947,NaN,NaN,23455.757267630284,23439.871200644837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23424.5
2025-06-13T11:13:00+02:00,23449,23452,23422,23426,23455.643411035428,23439.329649110146,NaN,NaN,23461.116063892565,23446.865460116467,NaN,NaN,23455.643411035428,23439.329649110146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23424.5
